Time,time(h),time(min),umol/L,o2sat,light
23-07-2013 15:07:50,1.08898,31.0479,209.097,104.50,l
23-07-2013 15:07:55,1.09037,31.1313,226.068,112.98,l
23-07-2013 15:08:00,1.09176,31.2147,241.584,120.73,l
23-07-2013 15:08:05,1.09315,31.2981,258.684,129.28,l
23-07-2013 15:08:10,1.09454,31.3815,274.221,137.04,l
23-07-2013 15:08:15,1.09593,31.4649,290.445,145.15,l
23-07-2013 15:08:20,1.09732,31.5483,304.64,152.24,l
23-07-2013 15:08:25,1.09871,31.6317,321.424,160.63,l
23-07-2013 15:08:30,1.1001,31.7151,336.441,168.14,l
23-07-2013 15:08:35,1.1015,31.7991,352.484,176.15,l
23-07-2013 15:08:40,1.10289,31.8825,367.947,183.88,l
23-07-2013 15:08:45,1.10428,31.9659,385.659,192.73,l
23-07-2013 15:08:50,1.10567,32.0493,405.623,202.71,l
23-07-2013 15:08:55,1.10706,32.1327,425.284,212.54,l
23-07-2013 15:09:00,1.10845,32.2161,441.71,220.74,l
23-07-2013 15:09:05,1.10984,32.2995,453.948,226.86,l
23-07-2013 15:09:10,1.11123,32.3829,467.006,233.39,l
23-07-2013 15:09:15,1.11262,32.4663,480.915,240.34,l
23-07-2013 15:09:20,1.11401,32.5497,495.475,247.61,l
23-07-2013 15:09:25,1.1154,32.6331,510.628,255.19,l
23-07-2013 15:09:30,1.1168,32.7171,524.257,262.00,l
23-07-2013 15:09:35,1.11819,32.8005,534.237,266.99,l
23-07-2013 15:09:40,1.11958,32.8839,542.476,271.10,l
23-07-2013 15:09:45,1.12097,32.9673,548.929,274.33,l
23-07-2013 15:09:50,1.12236,33.0507,556.326,278.02,l
23-07-2013 15:09:55,1.12375,33.1341,566.396,283.06,l
23-07-2013 15:10:00,1.12514,33.2175,578.476,289.09,l
23-07-2013 15:10:05,1.12653,33.3009,590.859,295.28,l
23-07-2013 15:10:10,1.12792,33.3843,599.371,299.54,l
23-07-2013 15:10:15,1.12931,33.4677,607.175,303.44,l
23-07-2013 15:10:20,1.13071,33.5517,611.074,305.38,l
23-07-2013 15:10:25,1.1321,33.6351,618.209,308.95,l
23-07-2013 15:10:30,1.13349,33.7185,620.002,309.85,l
23-07-2013 15:10:35,1.13488,33.8019,622.226,310.96,l
23-07-2013 15:10:40,1.13627,33.8853,635.017,317.35,l
23-07-2013 15:10:45,1.13766,33.9687,652.648,326.16,l
23-07-2013 15:10:50,1.13905,34.0521,663.576,331.62,l
23-07-2013 15:10:55,1.14044,34.1355,669.881,334.77,l
23-07-2013 15:11:00,1.14183,34.2189,676.145,337.90,l
23-07-2013 15:11:05,1.14322,34.3023,683.426,341.54,l
23-07-2013 15:11:10,1.14462,34.3863,691.26,345.46,l
23-07-2013 15:11:15,1.14601,34.4697,699.829,349.74,l
23-07-2013 15:11:20,1.1474,34.5531,707.834,353.74,l
23-07-2013 15:11:25,1.14879,34.6365,716.174,357.91,l
23-07-2013 15:11:30,1.15018,34.7199,724.262,361.95,l
23-07-2013 15:11:35,1.15157,34.8033,731.668,365.65,l
